Number,Name,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset,Site,Species,School,Grade,Date
394,Tr-CrDo08,NA,Point,38.26995042,-122.92255661,7.113,-27.674,True Grass,CrDo,NA,NA,NA
392,Tr-CrDo07,NA,Point,38.2699936433333,-122.92254225,6.755,-27.674,True Grass,CrDo,NA,NA,NA
391,Tr-ScCa03,NA,Point,38.270018755,-122.92259823,7.993,-27.674,True Grass,ScCa,NA,NA,NA
390,Tr-ScCa02,NA,Point,38.2700287683333,-122.922583576667,7.51,-27.674,True Grass,ScCa,NA,NA,NA
389,Tr-ScCa01,NA,Point,38.270042825,-122.922603381667,7.912,-27.674,True Grass,ScCa,NA,NA,NA
388,Tr-CeTh06,NA,Point,38.270077805,-122.922701518333,9.388,-27.674,True Grass,CeTh,NA,NA,NA
387,Tr-CeTh05,NA,Point,38.27002633,-122.922762616667,10.652,-27.674,True Grass,CeTh,NA,NA,NA
384,Tr-CeTh04,NA,Point,38.2700569383333,-122.922817486667,9.854,-27.674,True Grass,CeTh,NA,NA,NA
383,Tr-CeTh03,NA,Point,38.270082625,-122.922768716667,8.672,-27.674,True Grass,CeTh,NA,NA,NA
382,Tr-CeTh02,NA,Point,38.27022194,-122.922832311667,7.212,-27.674,True Grass,CeTh,NA,NA,NA
381,Tr-CeTh01,NA,Point,38.2702441133333,-122.922855748333,7.558,-27.674,True Grass,CeTh,NA,NA,NA
380,Tr-CrDo06,NA,Point,38.2702760833333,-122.92288709,7.993,-27.674,True Grass,CrDo,NA,NA,NA
379,Tr-CrDo05,NA,Point,38.2702386666667,-122.922951473333,9.987,-27.674,True Grass,CrDo,NA,NA,NA
378,Tr-CrDo04,NA,Point,38.2703155883333,-122.922946156667,9.361,-27.674,True Grass,CrDo,NA,NA,NA
377,Tr-RiCa05,NA,Point,38.27030699,-122.922757196667,5.47,-27.674,True Grass,RiCa,NA,NA,NA
376,Tr-RiCa04,NA,Point,38.2702792466667,-122.922746706667,5.81,-27.674,True Grass,RiCa,NA,NA,NA
